2023-11-01 13:25:08.240 [main] INFO  com.geeker.GeekerAdminMpSystemApplication:55 - Starting GeekerAdminMpSystemApplication using Java 1.8.0_282 on liweideMacBook-Pro.local with PID 18108 (/Users/liwei/Desktop/开源项目/GeekerAdmin-mp/GeekerAdmin-mp-system/target/classes started by liwei in /Users/liwei/Desktop/开源项目/GeekerAdmin-mp)
2023-11-01 13:25:08.242 [main] INFO  com.geeker.GeekerAdminMpSystemApplication:651 - The following 1 profile is active: "dev"
2023-11-01 13:25:08.266 [main] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor:255 - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-01 13:25:08.603 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:262 - Multiple Spring Data modules found, entering strict repository configuration mode
2023-11-01 13:25:08.604 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:132 - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-11-01 13:25:08.619 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:201 - Finished Spring Data repository scanning in 7 ms. Found 0 Redis repository interfaces.
2023-11-01 13:25:08.790 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:376 - Bean 'spring.datasource.dynamic-com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-11-01 13:25:08.792 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:376 - Bean 'com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAutoConfiguration' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAutoConfiguration$$EnhancerBySpringCGLIB$$c194b470] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-11-01 13:25:08.800 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:376 - Bean 'dsProcessor' of type [com.baomidou.dynamic.datasource.processor.DsHeaderProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-11-01 13:25:08.942 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer:108 - Tomcat initialized with port(s): 8123 (http)
2023-11-01 13:25:08.947 [main] INFO  org.apache.coyote.http11.Http11NioProtocol:173 - Initializing ProtocolHandler ["http-nio-8123"]
2023-11-01 13:25:08.947 [main] INFO  org.apache.catalina.core.StandardService:173 - Starting service [Tomcat]
2023-11-01 13:25:08.947 [main] INFO  org.apache.catalina.core.StandardEngine:173 - Starting Servlet engine: [Apache Tomcat/9.0.68]
2023-11-01 13:25:08.994 [main] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api]:173 - Initializing Spring embedded WebApplicationContext
2023-11-01 13:25:08.995 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext:290 - Root WebApplicationContext: initialization completed in 729 ms
2023-11-01 13:25:09.170 [main] INFO  com.alibaba.druid.pool.DruidDataSource:985 - {dataSource-1,master} inited
2023-11-01 13:25:09.171 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource:148 - dynamic-datasource - add a datasource named [master] success
2023-11-01 13:25:09.172 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource:228 - dynamic-datasource initial loaded [1] datasource,primary datasource named [master]
2023-11-01 13:25:09.690 [main] INFO  o.s.security.web.DefaultSecurityFilterChain:55 - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2fe74516, org.springframework.security.web.context.SecurityContextPersistenceFilter@5a8c93, org.springframework.security.web.header.HeaderWriterFilter@49d30c6f, org.springframework.web.filter.CorsFilter@1c3259fa, org.springframework.security.web.authentication.logout.LogoutFilter@3e7b65d7, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@786ff1cb, com.geeker.security.filter.JwtAuthenticationFilter@d7109be, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@119b0892, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@50448409, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@217bf99e, org.springframework.security.web.session.SessionManagementFilter@4fdca00a, org.springframework.security.web.access.ExceptionTranslationFilter@3003827c, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@3eb292cd]
2023-11-01 13:25:10.043 [main] INFO  org.apache.coyote.http11.Http11NioProtocol:173 - Starting ProtocolHandler ["http-nio-8123"]
2023-11-01 13:25:10.057 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer:220 - Tomcat started on port(s): 8123 (http) with context path '/api'
2023-11-01 13:25:10.064 [main] INFO  com.geeker.GeekerAdminMpSystemApplication:61 - Started GeekerAdminMpSystemApplication in 2.049 seconds (JVM running for 2.281)
2023-11-01 13:25:17.708 [http-nio-8123-exec-1] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api]:173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-11-01 13:25:17.709 [http-nio-8123-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet:525 - Initializing Servlet 'dispatcherServlet'
2023-11-01 13:25:17.710 [http-nio-8123-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet:547 - Completed initialization in 1 ms
2023-11-01 13:25:17.723 [http-nio-8123-exec-1] INFO  com.geeker.security.filter.JwtAuthenticationFilter:70 - 请求url: /api/auth/login
2023-11-01 13:25:17.981 [http-nio-8123-exec-1] INFO  c.g.security.controller.AuthenticationController:36 - 密码匹配结果为: 通过
2023-11-01 13:25:18.106 [http-nio-8123-exec-1] INFO  c.g.security.controller.AuthenticationController:52 - authentication: [ROLE_admin, ROLE_common, system:menu:add, system:menu:delete, system:menu:edit, system:menu:list, system:menu:query, system:role:add, system:role:delete, system:role:edit, system:role:list, system:role:menu, system:role:query, system:user:add, system:user:delete, system:user:edit, system:user:list, system:user:query, system:user:resetPwd, system:user:role]
2023-11-01 13:25:18.107 [http-nio-8123-exec-1] INFO  c.g.security.controller.AuthenticationController:53 - authentication: null
2023-11-01 13:25:18.138 [http-nio-8123-exec-2] INFO  com.geeker.security.filter.JwtAuthenticationFilter:70 - 请求url: /api/sys/menu/treeList
2023-11-01 13:25:18.193 [http-nio-8123-exec-3] INFO  com.geeker.security.filter.JwtAuthenticationFilter:70 - 请求url: /api/auth/buttons
